keys,en,br,es,pr
FINALLUMINE35,The nature of their existence has also changed...,A natureza de sua existência também mudou...,La naturaleza de su existencia también ha cambiado...,Só fica aí falando essas barbaridades. Sabia que isso dá processo?
FINALLUMINE36,And you are not needed in our new world!,Você não é mais necessário em nosso novo mundo!,¡Y no eres necesario en nuestro nuevo mundo!,"Até o final do ano você vai cair, aguarde os oficiais de justiça."
,,,,
ENDING1-2,Unbelievable...,Inacreditável...,Inconcebible...,Rapaz... Você realmente me pegou de jeito.
ENDING1-3,You may have defeated me... But it's too late to stop what's already begun...,"Você pode ter me derrotado, X... Mas já é tarde demais para parar o que começamos...",Puede que me hayas derrotado... Pero es demasiado tarde para detener lo que ya ha comenzado...,"Eu não aguento outra hoje não, por favor. Tá tudo arreganhado aqui em baixo."
ENDING1-4,Ha ha ha... I can see you've started to realize the situation...,Ha ha ha... Eu consigo ver em seu rosto que você percebeu...,Ja ja ja... Puedo ver que has empezado a darte cuenta de la situación...,Eta que eu acho que torou foi uma veia.
ENDING1-5,"This won't end with me, X... I can assure you that...","Isso não vai terminar comigo, X... Outros virão...","Esto no terminará conmigo, X... Te lo puedo asegurar...",Aaaaaahhh... 
ENDING1-6,...,...,...,...
ENDING1-7,Ugh! I can’t stand this pain anymore... Just... Make it quick...,Agh! Não aguento mais essa dor..  Acabe... Logo com isso...,¡Ugh! No aguanto más este dolor... Solo... Hazlo rápido...,"Ah tá, vai, me dá mais uma, mas não exagera, tá?"
,,,,
ENDING2-1,This is X... ,Aqui é o X...,Aquí X...,"Aqui é o X, porra!"
ENDING2-2,The enemy... Has been dealt with.,A missão... foi concluída.,El enemigo... Ha sido eliminado.,"Terminei essa merda, quem tiver achando ruim, chupa um canavial de rola!"
ENDING2-3,I'm headed back now... ,Estou retornando agora... ,Ahora voy de regreso...,"X7 demake é o caralho, vão fazer vocês essa desgraça!"
ENDING2-4,Roger... ,Entendido... ,Entendido...,Parabéns por ter terminado essa caralha!
,,,,
ENDING3-1,I bet you've been thinking about what Sigma was saying a while ago...,Aposto que você está pensando no que Sigma falou agora a pouco...,This dialog has been cut.,
ENDING3-2,"""Awakening""... That's how Sigma described it.","""Despertar""... Foi como Sigma descreveu.",,
ENDING3-3,He said this was evolution... That they were acting on their own free will...,Ele disse que era evolução... Que eles escolheram agir como agiram...,,
ENDING3-4,If he's right... Then what are we doing...?,Se isso for verdade... Então o que é que estamos fazendo?,,
ENDING3-5,Don't let it get to you.,Não deixe isso lhe subir a cabeça.,,
ENDING3-6,Just becoming Sigma could hardly be called evolution.,Agir como Sigma mal dá pra ser chamado de evolução.,,
ENDING3-7,From what he said... Sigma won't be coming back.,"Se o que Sigma disse for verdade, Sigma não vai voltar.",,
ENDING3-8,From now on we will be fighting not only Mavericks...,"A partir de agora, não lutaremos apenas com Mavericks...",,
ENDING3-9,But also Reploids who honestly believe they are right in their views.,"Mas também contra Reploids igual a nós, apenas com pensamentos diferentes.",,
ENDING3-10,X... ,X... ,,
ENDING3-11,Even if we Reploids are destined to join the scrap heap when that evolutionary step does come about...,Mesmo que nós estejamos destinados a virar sucata quando essa suposta evolução acontecer...,,
ENDING3-12,We still have to fight.,Nós ainda temos que lutar.,,
ENDING3-13,"Not only against Mavericks, but against our own destiny as well.","Não apenas contra Mavericks, mas também contra o nosso destino.",,
ENDING3-14,...,...,,
,,,,
,,,,
,,,,
,,,,
INTRO1-1,"In the year 21XX, the endless Maverick rebellions continue.",,This dialog has been potentially cut?,
INTRO1-2,"Humans however have begun migration to the moon, thanks to new technology.",,,
INTRO1-3,"This plan is called the ""Jakob Project"" and an Orbital Elevator was built as part of it.",,,
INTRO1-4,Highly advanced new generation Reploids have been brought to the moon's surface to work.,,,
INTRO1-5,"However, a sudden accident is bound to change the destiny of all involved...",,,
,,,,
INTRO2-1,This is X! I'm close to the site of the accident near the Orbital Elevator!,Aqui é o X! Estou próximo do local do acidente do Elevador Orbital!,¡Aquí X! ¡Estoy cerca del lugar del accidente cerca del Elevador Orbital!,Aqui é o X! Estou próximo do local do acidente do Elevador Orbital!
INTRO2-2,The place is crawling with Mavericks! ,As redondezas estão infestadas de Mavericks!,¡El lugar está repleto de Mavericks!,As redondezas estão infestadas de Mavericks!
INTRO2-3,I'll make my way to the site. Get ready to send rescue mechaniloids on my signal!,Vou abrir caminho até lá. Se preparem para mandar o resgate ao meu sinal!,Iré hacia el sitio. Prepárense para enviar mecaniloides de rescate a mi señal.,Vou abrir caminho até lá. Se preparem para mandar o resgate ao meu sinal!
INTRO2-4,Roger!,Entendido!,Entendido!,Caguei!
INTRO2-5,S-Sigma...!?,S-Sigma...!?,S-Sigma...!?,S-Sigma...!?
INTRO2-6,To protect ourselves from damage during the accident...,Para nos proteger de danos durante o acidente... ,Para protegernos de los daños durante el accidente...,Eta porra tá escuro pra caralho aqui.
INTRO2-7,We had to copy a sturdy Sigma body.,Tivemos que copiar um corpo resistente como o de Sigma.,Tuvimos que copiar un cuerpo resistente como el de Sigma.,E um cheiro de fumaça da porra também.
INTRO2-8,We new generation Reploids enjoy complete and total immunity to all viruses.,Nós Reploids de nova geração somos completamente imunes a qualquer tipo de vírus.,"Nosotros, los Reploides de nueva generación, disfrutamos de una inmunidad completa y total a todos los virus.",Rapaz sair de dentro do cafofo não melhorou muita coisa não.
INTRO2-9,So even copying something as dangerous as Sigma provides no risk.,Então copiar algo tão perigoso quanto Sigma não traz risco algum.,Así que incluso copiar algo tan peligroso como Sigma no conlleva riesgo.,Acho que é bom pegar uns copo dagua pra apagar essa brasa aí... 
INTRO2-10,Who are you?,Quem é você?,¿Quién eres?,Quem é você?
INTRO2-11,I'm Sigma... ,Me chamo Sigma... ,Me llamo Sigma.,Como assim quem é você? Que falta de educação.
INTRO2-12,I'm the director in charge of the elevator and the Jakob Project.,Sou responsável pelo elevador e pelo Projeto Jakob.,Soy el director a cargo del elevador y del Proyecto Jakob.,Se apresenta primeiro antes de sair perguntando o nome dozoto.
INTRO2-13,"I see. Hold tight, I'll signal my team to send in the rescue-","Entendo. Aguentem firme, vou sinalizar minha equipe para que-","Entiendo. Aguarda aquí, enviaré una señal a mi equipo para que envíen el rescate-","Entendo. Aguentem firme, vou sinalizar minha equipe para que-"
,,,,
INTRO3-1,"How nice to see you again, X!","É muito bom te ver de novo, X!","¡Qué bueno verte de nuevo, X!","Óia o cabra aí rapaz, num morre mais!"
INTRO3-2,Vile?!,Vile?!,¿¡Vile!?,Vile?!
INTRO3-3,"Ha ha ha... I'd love to stay and play with you, but I'm afraid I have too much work to do...","Ha ha ha... Eu adoraria brincar com você, mas tenho trabalho a fazer... ","Ja ja ja... Me encantaría quedarme y jugar contigo, pero me temo que tengo demasiado trabajo que hacer...","Eu mesmo, o amarelo mais safado dessa região!"
INTRO3-4,You're a wanted criminal! Stop and let Sigma go!,Você é um criminoso procurado! Pare e liberte Sigma!,¡Eres un criminal buscado! ¡Detente y suelta a Sigma!,Você é um criminoso procurado! Pare e liberte Sigma!
INTRO3-5,Not a chance. The Orbital Elevator is under our control now...,Sem chance. O Elevador Orbital está sob nosso controle agora... ,De ninguna manera. El Elevador Orbital está bajo nuestro control ahora...,"Nem a pau, vai ter reprise do auto da compadecida lá na praça de taperoá hoje a noite!"
INTRO3-6,Just what do you plan to do?!,O que é que você está planejando?!,¿¡Qué planeas hacer!?,O que é que você está planejando?!
INTRO3-7,"It begins now, X... \nA new world will be born! \nHa ha ha!","Tudo começa agora, X... \nUm novo mundo está nascendo! Ha ha ha!","Empieza ahora, X... \n¡Un nuevo mundo esta por nacer! \n¡Ja ja ja!","Encher o cu de pinga, o resto a gente vê depois!"
,,,,
SECRET2-1,"Welcome, Mega Man X. I've been waiting for you.","Bem vindo, Mega Man X. Estive a sua espera.","Bienvenido, Mega Man X. Te he estado esperando.","Bem vindo, Mega Man X. Estive a sua espera."
SECRET2-2,You are different from anyone I've faced before...,Você é diferente de qualquer um que já enfrentei...,Eres diferente de cualquier otro al que haya enfrentado antes...,Você é diferente de qualquer um que já enfrentei...
SECRET2-3,You exude an aura of peace and mercy. Who are you?,Você erradia uma aura de paz e misericórdia. Quem é você?,Emanas un aura de paz y misericordia. ¿Quién eres?,Você erradia uma aura de paz e misericórdia. Quem é você?
SECRET2-4,How keen of you to notice this so soon. ,Muito perspicaz da sua parte notar meus traços.,Qué perceptivo de tu parte notarlo tan pronto.,Muito perspicaz da sua parte notar meus traços.
SECRET2-5,I am Serenade. ,Me chamo Serenade.,Yo soy Serenade.,Me chamo Serenade.
SECRET2-6,You mentioned I'm different from others you faced before?,Você mencionou que sou diferente de outros que já enfrentou?,¿Mencionaste que soy diferente a los demás a los que has enfrentado antes?,Você mencionou que sou diferente de outros que já enfrentou?
SECRET2-7,That is because of my overwhelming power. ,Isso se dá devido ao meu incrível poder.,Eso es debido a mi poder abrumador.,Isso se dá devido ao meu incrível poder.
SECRET2-8,Overwhelming...?,Incrível...?,¿Abrumador...?,Incrível...?
SECRET2-9,Correct. I've been training to be stronger ever since I lost the title of UnderKing.,Correto. Estive treinando para me tornar mais forte desde que perdi o título de UnderKing.,Correcto. He estado entrenando para ser más fuerte desde que perdí el título de UnderKing.,Correto. Estive treinando para me tornar mais forte desde que perdi o título de UnderKing.
SECRET2-10,For twenty years I've been amassing power. Now I've choosen you to test my strength against.,Por vinte anos estive acumulando poder e escolhi você para testar minha força.,Durante veinte años he estado acumulando poder. Ahora te he elegido a ti para poner a prueba mi fuerza.,Por vinte anos estive acumulando poder e escolhi você para testar minha força.
SECRET2-11,"Serenade, was it? Hmm...","Serenade, não é? Hmm...","¿Serenade, dijiste? Hmm...","Serenade, não é? Hmm..."
SECRET2-12,"Okay, I accept your duel!","Certo, eu aceito seu duelo!","¡Está bien, acepto tu duelo!","Certo, eu aceito seu duelo!"
SECRET2-13,"Then, come to me...","Então, que assim seja...","Entonces, comencemos...","Então, que assim seja..."
,,,,
SECRET2-14,I honestly thought I was strong enough to defeat you. I was wrong.,Eu sinceramente pensei que poderia derrota-lo. Eu estava errado.,"Honestamente, pensé que era lo suficientemente fuerte para derrotarte. Me equivoqué.",Eu sinceramente pensei que poderia derrota-lo. Eu estava errado.
SECRET2-15,"The kindness, love and respect that you possess in your heart makes you even more powerful.","A compaixão, o amor e o respeito que você possui em seu coração o fazem poderoso.","La bondad, el amor y el respeto que posees en tu corazón te hacen aún más poderoso.","A compaixão, o amor e o respeito que você possui em seu coração o fazem poderoso."
SECRET2-16,You fought this duel beautifully. You really are the strongest robot in this world. ,Você lutou bravamente. De fato você é o robô mais poderoso deste mundo.,Luchaste este duelo de manera impresionante. Realmente eres el robot más fuerte en este mundo.,Você lutou bravamente. De fato você é o robô mais poderoso deste mundo.
SECRET2-17,I wish I had something to reward you. The best I can offer you are my thanks.,Infelizmente não tenho nada para lhe recompensar além dos meus agradecimentos.,Desearía tener algo para recompensarte. Lo mejor que puedo ofrecerte son mis agradecimientos.,Infelizmente não tenho nada para lhe recompensar além dos meus agradecimentos.
SECRET2-18,"Mega Man X. We shall meet again, in some other place...","Mega Man X. Nos encontraremos de novo, em algum outro lugar...","Mega Man X. Nos encontraremos de nuevo, en algún otro lugar...","Mega Man X. Nos encontraremos de novo, em algum outro lugar..."
SECRET2-19,"For now, farewell!","Por enquanto, adeus!","¡Por ahora, adiós!","Por enquanto, adeus!"
,,,,
ACHIEV_ABV,Achiev,Conqst,Logros,Conqst
ACHIEV_SCREEN_TITLE,Achievements,Conquistas,Logros,Aqui não é RA carai
ACHIEVEMENTSUNLOCKED,Achievements Earned,Conquistas Desbloqueadas,Logros Desbloqueados,Conquistas Desbloqueadas
,,,,
DEBUGACHIEVTITLE,Locked Achievement…,Conquista Bloqueada…,Logro Bloqueado...,Conquista Bloqueada…
DEBUGACHIEVDISC,Used DebugMode.,Usou Modo Debug.,Usaste Modo Debug. ,Usou Modo Debug.
,,,,
BEATINTRO_TITLE,Good To See You Again,,,
BEATINTRO_DISC,Defeated the Intro Stage Boss.,Derrotou o Boss da Fase Inicial.,Derrotaste al Jefe del Nivel Introductorio.,Derrotou o Boss da Fase Inicial.
ANTONIONBUSTERONLY_TITLE,Don't Attach Labels to Me,,,
ANTONIONBUSTERONLY_DISC,Defeated Tornado Tonion without using special weapons.,Derrotou Tornado Tonion sem usar armas especiais.,Derrotaste a Tornado Tonion sin utilizar armas especiales.,Derrotou Tornado Tonion sem usar armas especiais.
ANTONIONNAKED_TITLE,Not After Praise,,,
ANTONIONNAKED_DISC,Defeated Tornado Tonion without equipping any upgrades.,Derrotou Tornado Tonion sem equipar nenhuma melhoria.,Derrotaste a Tornado Tonion sin equipar ninguna mejora.,Derrotou Tornado Tonion sem equipar nenhuma melhoria.
ANTONIONNODAMAGE_TITLE,An Incredible Scientist,,,
ANTONIONNODAMAGE_DISC,Defeated Tornado Tonion without taking damage.,Derrotou Tornado Tonion sem tomar dano.,Derrotaste a Tornado Tonion sin recibir daño.,Derrotou Tornado Tonion sem tomar dano.
ANTONIONNOROTATION_TITLE,Portal,,,
ANTONIONNOROTATION_DISC,Reached the end of Air Forces without rotating the Stage or dying.,Chegou ao final do Forças Aéreas sem girar a fase nem morrer.,Llegaste al final del nivel Primavera sin voltear el escenario or morir.,Chegou ao final do Forças Aéreas sem girar a fase nem morrer.
COLLECTALLHEARTS_TITLE,Strider,,,
COLLECTALLHEARTS_DISC,Collected all Heart Tanks.,Coletou todos os Corações.,Recolectaste todos los corazones.,Coletou todos os Corações.
COLLECTALLSUBTANKS_TITLE,Virtue's Last Reward,,,
COLLECTALLSUBTANKS_DISC,Collected All Sub Tanks.,Coletou todos os Sub Tanks.,Recolectaste todos los Sub Tanques.,Coletou todos os Sub Tanks.
COLLECTFULLHERMES_TITLE,Soul Eraser,,,
COLLECTFULLHERMES_DISC,Collected All Hermes Parts.,Coletou todas as partes da Hermes,Recolectaste todas las partes de la Armadura Hermes.,Coletou todas as partes da Hermes
COLLECTFULLICARUS_TITLE,Command Mission,,,
COLLECTFULLICARUS_DISC,Collected All Icarus Parts.,Coletou todas as partes da Icarus.,Recolectaste todas las partes de la Armadura Icarus.,Coletou todas as partes da Icarus.
COPYBUSTERONLY_TITLE,Your World Has Decayed,,,
COPYBUSTERONLY_DISC,Defeated the Impostor without using special weapons.,Derrotou o Impostor sem usar armas especiais.,Derrotaste al Impostor sin utilizar armas especiales.,Derrotou o Impostor sem usar armas especiais.
COPYDEFEATED_TITLE,Time for our Final Showdown,,,
COPYDEFEATED_DISC,Defeated the Impostor.,Derrotou o Impostor.,Derrotaste al Impostor.,Derrotou o Impostor.
COPYNAKED_TITLE,Put a Stop to What?,,,
COPYNAKED_DISC,Defeated the Imposter without equipping any upgrades.,Derrotou o Impostor sem equipar nenhuma melhoria.,Derrotaste al Impostor sin equipar ninguna mejora.,Derrotou o Impostor sem equipar nenhuma melhoria.
COPYNODAMAGE_TITLE,I Am Indeed Sigma,,,
COPYNODAMAGE_DISC,Defeated the Imposter without taking damage.,Derrotou o Impostor sem tomar dano.,Derrotaste al Impostor sin recibir daño.,Derrotou o Impostor sem tomar dano.
DEFEATEDALL_TITLE,The Orbital Elevator,,,
DEFEATEDALL_DISC,Defeated all eight Maverick Bosses.,Derrotou os oito Mavericks.,Derrotaste a los 8 Jefes.,Derrotou os oito Mavericks.
DEFEATEDANY_TITLE,New Generation Reploids,,,
DEFEATEDANY_DISC,Defeated any of the Maverick Bosses.,Derrotou qualquer um dos Bosses.,Derrotaste a cualquiera de los Jefes.,Derrotou qualquer um dos Bosses.
GATEWAYFIESTA_TITLE,Desperados,,,
GATEWAYFIESTA_DISC,Survived through the hardest challenge in Palace Road.,Sobreviveu ao desafio mais difícil do Estrada do Palácio.,Sobreviviste al desafío más difícil en el Camino del Palacio.,Sobreviveu ao desafio mais difícil do Estrada do Palácio.
GIGACRUSHKILL_TITLE,Cataclysm,,,
GIGACRUSHKILL_DISC,Finished a Boss with Gigacrush.,Finalizou um Boss usando o Gigacrush.,Derrotaste a un Jefe usando el Gigacrush.,Finalizou um Boss usando o Gigacrush.
LUMINENAKED_TITLE,I Supose You're Satisfied,,,
LUMINENAKED_DISC,Defeated the Final Boss without equipping any upgrades.,Derrotou o Boss Final sem equipar nenhuma melhoria.,Derrotaste al Jefe Final sin equipar ninguna mejora.,Derrotou o Boss Final sem equipar nenhuma melhoria.
LUMINENODAMAGE_TITLE,Of Course I'm Ok,,,
LUMINENODAMAGE_DISC,Defeated the Final Boss without taking damage.,Derrotou o Boss Final sem tomar dano.,Derrotaste al Jefe Final sin recibir daño.,Derrotou o Boss Final sem tomar dano.
MANOWARDOOREXPLODED_TITLE,Gotta Go Fast,,,
MANOWARDOOREXPLODED_DISC,Broke your way through Radio Tower.,Destruiu a segunda porta em Torre de Rádio.,Te abriste camino a través de Torre de Radio.,Destruiu a segunda porta em Torre de Rádio.
MANOWARBUSTERONLY_TITLE,I'm In Complete Control,,,
MANOWARBUSTERONLY_DISC,Defeated Splash Warfly without using special weapons.,Derrotou Splash Warfly sem usar armas especiais.,Derrotaste a Splash Warfly sin usar armas especiales.,Derrotou Splash Warfly sem usar armas especiais.
MANOWARNAKED_TITLE,"Who Are You, Anyway?",,,
MANOWARNAKED_DISC,Defeated Splash Warfly without equipping any upgrades.,Derrotou Splash Warfly sem equipar nenhuma melhoria.,Derrotaste a Splash Warfly sin equipar ninguna mejora.,Derrotou Splash Warfly sem equipar nenhuma melhoria.
MANOWARNODAMAGE_TITLE,Not Doing Anything Wrong,,,
MANOWARNODAMAGE_DISC,Defeated Splash Warfly without taking damage.,Derrotou Splash Warfly sem tomar dano.,Derrotaste a Splash Warfly sin recibir daño.,Derrotou Splash Warfly sem tomar dano.
MANTISBUSTERONLY_TITLE,Let My Blade Show You,,,
MANTISBUSTERONLY_DISC,Defeated Wind Crowrang without using special weapons.,Derrotou Wind Crowrang sem usar armas especiais.,Derrotaste a Wind Crowrang sin usar armas especiales.,Derrotou Wind Crowrang sem usar armas especiais.
MANTISLIT_TITLE,Shining In The Darkness,,,
MANTISLIT_DISC,Put an end to the darkness in Cyber Field.,Pôs um fim a escuridão do Campo Cibernético.,Pusiste fin a la oscuridad en Campo Cibernético.,Pôs um fim a escuridão do Campo Cibernético.
MANTISNAKED_TITLE,"Can't Go Maverick, Kid",,,
MANTISNAKED_DISC,Defeated Wind Crowrang without equipping any upgrades.,Derrotou Wind Crowrang sem equipar nenhuma melhoria.,Derrotaste a Wind Crowrang sin equipar ninguna mejora.,Derrotou Wind Crowrang sem equipar nenhuma melhoria.
MANTISNODAMAGE_TITLE,Your Precious 'Justice',,,
MANTISNODAMAGE_DISC,Defeated Wind Crowrang without taking damage.,Derrotou Wind Crowrang sem tomar dano.,Derrotaste a Wind Crowrang sin recibir daño.,Derrotou Wind Crowrang sem tomar dano.
PANDABUSTERONLY_TITLE,Sole Purpose To Destroy,,,
PANDABUSTERONLY_DISC,Defeated Vanishing Gungaroo without using special weapons.,Derrotou Vanishing Gungaroo sem usar armas especiais.,Derrotaste a Vanishing Gungaroo sin usar armas especiales.,Derrotou Vanishing Gungaroo sem usar armas especiais.
PANDANAKED_TITLE,We Are Forced To Fight,,,
PANDANAKED_DISC,Defeated Vanishing Gungaroo without equipping any upgrades.,Derrotou Vanishing Gungaroo sem equipar nenhuma melhoria.,Derrotaste a Vanishing Gungaroo sin equipar ninguna mejora.,Derrotou Vanishing Gungaroo sem equipar nenhuma melhoria.
PANDANODAMAGE_TITLE,Never Thought Yourself?,,,
PANDANODAMAGE_DISC,Defeated Vanishing Gungaroo without taking damage.,Derrotou Vanishing Gungaroo sem tomar dano.,Derrotaste a Vanishing Gungaroo sin recibir daño.,Derrotou Vanishing Gungaroo sem tomar dano.
PANDARIDEREACHED_TITLE,Probotector,,,
PANDARIDEREACHED_DISC,Reached the end of Deep Forest with the Cyclops.,Chegou ao final da Floresta Profunda com a Cyclops.,Llegaste al final del Bosque Profundo con el Cíclope.,Chegou ao final da Floresta Profunda com a Cyclops.
PELEDOSGAMES_TITLE,Pelé of the Games,Pelé dos Games,Pelé de los Juegos,Pelé dos Games
PELEDOSGAMES_DISC,Juggled the Armor well after beating the Boss.,Cabeceou a Armadura bem depois de derrotar o Boss.,Malabareaste la armadura por un tiempo despues de vencer al jefe.,Cabeceou a Armadura bem depois de derrotar o Boss.
PERFECTKILL_TITLE,Mark of the Wolves,,,
PERFECTKILL_DISC,"Defeated any Boss without using special weapons, without taking damage and without upgrades.","Derrotou qualquer Boss sem usar armas especiais, sem melhorias e sem tomar dano.","Derrotaste a cualquier jefe sin usar armas especiales, sin recibir daño y sin mejoras.","Derrotou qualquer Boss sem usar armas especiais, sem melhorias e sem tomar dano."
ROOSTERBUSTERONLY_TITLE,The Price I Have To Pay,,,
ROOSTERBUSTERONLY_DISC,Defeated Flame Hyenard without using special weapons.,Derrotou Flame Hyenard sem usar armas especiais.,Derrotaste a Flame Hyenard sin usar armas especiales.,Derrotou Flame Hyenard sem usar armas especiais.
ROOSTERFROZEN_TITLE,Hades,,,
ROOSTERFROZEN_DISC,Stopped the Lava Wall at Lava Factory.,Parou a lava em Fábrica de Lava,Detuviste la Pared de Lava en el Fábrica de Lava.,Parou a lava em Fábrica de Lava
ROOSTERNAKED_TITLE,Labeled Maverick,,,
ROOSTERNAKED_DISC,Defeated Flame Hyenard without equipping any upgrades.,Derrotou Flame Hyenard sem equipar nenhuma melhoria.,Derrotaste a Flame Hyenard sin equipar mejoras.,Derrotou Flame Hyenard sem equipar nenhuma melhoria.
ROOSTERNODAMAGE_TITLE,This Is No Ordinary Riot,,,
ROOSTERNODAMAGE_DISC,Defeated Flame Hyenard without taking damage.,Derrotou Flame Hyenard sem tomar dano.,Derrotaste a Flame Hyenard sin recibir daño.,Derrotou Flame Hyenard sem tomar dano.
SECRET2DEFEATED_TITLE,Cycle of the Six Existences,Ciclo das Seis Existências,Ciclo de las Seis Existencias,Ciclo das Seis Existências
SECRET2DEFEATED_DISC,Defeated Secret Boss #2.,Derrotou o Boss Secreto #2.,Derrotaste al Jefe Secreto #2,Derrotou o Boss Secreto #2.
SERAPHDEFEATED_TITLE,Tools of the Old World,,,
SERAPHDEFEATED_DISC,Beat the game.,Finalizou o jogo.,Terminaste el juego.,Finalizou o jogo.
,,,,
SERAPHNAKED_TITLE,Do You Have What it Takes?,,,
SERAPHNAKED_DISC,Defeated the Final Boss Second Phase without equipping any upgrades.,Derrotou a Segunda Fase do Boss Final sem equipar nenhuma melhoria.,Derrotaste la Segunda Fase del Jefe Final sin equipar ninguna mejora.,Derrotou a Segunda Fase do Boss Final sem equipar nenhuma melhoria.
SERAPHNODAMAGE_TITLE,Accursed Cycle of Aggression,,,
SERAPHNODAMAGE_DISC,Defeated the Final Boss Second Phase without taking damage.,Derrotou a Segunda Fase do Boss Final sem tomar dano.,Derrotaste la Segunda Fase del Jefe Final sin recibir daño.,Derrotou a Segunda Fase do Boss Final sem tomar dano.
SIGMANAKED_TITLE,Ruler of the New World,,,
SIGMANAKED_DISC,Defeated Sigma without equipping any upgrades.,Derrotou Sigma sem equipar nenhuma melhoria.,Derrotaste a Sigma sin equipar mejoras.,Derrotou Sigma sem equipar nenhuma melhoria.
SIGMANODAMAGE_TITLE,Our Meeting was Fated,,,
SIGMANODAMAGE_DISC,Defeated Sigma without taking damage.,Derrotou Sigma sem tomar dano.,Derrotaste a Sigma sin recibir daño.,Derrotou Sigma sem tomar dano.
SUNFLOWERBUSTERONLY_TITLE,No One Can Control Us,,,
SUNFLOWERBUSTERONLY_DISC,Defeated Snipe Anteator without using special weapons.,Derrotou Snipe Anteator sem usar armas especiais.,Derrotaste a Snipe Anteator sin usar armas especiales.,Derrotou Snipe Anteator sem usar armas especiais.
SUNFLOWERGOTSSSRANK_TITLE,Gravity Circuit,,,
SUNFLOWERGOTSSSRANK_DISC,Got S Rank in all challenges in a single run.,Conseguiu Rank S em todos os desafios de uma vez só.,Obtuvo el rango S en todos los desafíos en una sola partida.,Conseguiu Rank S em todos os desafios de uma vez só.
SUNFLOWERNAKED_TITLE,We're No Monsters,,,
SUNFLOWERNAKED_DISC,Defeated Snipe Anteator without equipping any upgrades.,Derrotou Snipe Anteator sem equipar nenhuma melhoria.,Derrotaste a Snipe Anteator sin equipar mejoras.,Derrotou Snipe Anteator sem equipar nenhuma melhoria.
SUNFLOWERNODAMAGE_TITLE,What We're After,,,
SUNFLOWERNODAMAGE_DISC,Defeated Snipe Anteator without taking damage.,Derrotou Snipe Anteator sem tomar dano.,Derrotaste a Snipe Anteator sin recibir daño.,Derrotou Snipe Anteator sem tomar dano.
SURFEDONMISSILE_TITLE,Bomb Rush Cyberfunk,,,
SURFEDONMISSILE_DISC,Surfed through the skies for 6 seconds.,Surfou os céus por 6 segundos.,Surfeaste por los cielos durante 6 segundos.,Surfou os céus por 6 segundos.
TRILOBYTEBUSTERONLY_TITLE,The Ore We Mine,,,
TRILOBYTEBUSTERONLY_DISC,Defeated Ride Boomer without using special weapons.,Derrotou Ride Boomer sem usar armas especiais.,Derrotaste a Ride Boomer sin usar armas especiales.,Derrotou Ride Boomer sem usar armas especiais.
TRILOBYTENAKED_TITLE,Old Heaps of Junk,,,
TRILOBYTENAKED_DISC,Defeated Ride Boomer without equipping any upgrades.,Derrotou Ride Boomer sem equipar nenhuma melhoria.,Derrotaste a Ride Boomer sin equipar ninguna mejora.,Derrotou Ride Boomer sem equipar nenhuma melhoria.
TRILOBYTENODAMAGE_TITLE,Brainless Maverick Hunter,,,
TRILOBYTENODAMAGE_DISC,Defeated Ride Boomer without taking damage.,Derrotou Ride Boomer sem tomar dano.,Derrotaste a Ride Boomer sin recibir daño.,Derrotou Ride Boomer sem tomar dano.
VILEDEFEATEDTWICE_TITLE,Our Little Reunion,,,
VILEDEFEATEDTWICE_DISC,Defeated Vile twice.,Derrotou Vile duas vezes.,Derrotaste a Vile dos veces.,Derrotou Vile duas vezes.
VILEDEVILBEARDEFEATED_TITLE,Steel Assault,,,
VILEDEVILBEARDEFEATED_DISC,Defeated Devil Bear before finishing the battle.,Derrotou Devil Bear antes de terminar a luta.,Derrotaste a Devil Bear antes de terminar la batalla.,Derrotou Devil Bear antes de terminar a luta.
VILEJAKOBBUSTERONLY_TITLE,Piecing it Together,,,
VILEJAKOBBUSTERONLY_DISC,Defeated Vile without using special weapons.,Derrotou Vile sem usar armas especiais.,Derrotaste a Vile sin usar armas especiales.,Derrotou Vile sem usar armas especiais.
VILEJAKOBDEFEATED_TITLE,The Route To Space,,,
VILEJAKOBDEFEATED_DISC,Defeated Vile at the top of the Orbital Elevator.,Derrotou Vile no topo do Elevador Orbital.,Derrotaste a Vile en la cima del Elevador Orbital.,Derrotou Vile no topo do Elevador Orbital.
VILEJAKOBNAKED_TITLE,For a World that's Doomed,,,
VILEJAKOBNAKED_DISC,Defeated Vile without equipping any upgrades.,Derrotou Vile sem equipar nenhuma melhoria.,Derrotaste a Vile sin equipar ninguna mejora.,Derrotou Vile sem equipar nenhuma melhoria.
VILEJAKOBNODAMAGE_TITLE,At Times Like This,,,
VILEJAKOBNODAMAGE_DISC,Defeated Vile without taking damage.,Derrotou Vile sem tomar dano.,Derrotaste a Vile sin recibir daño.,Derrotou Vile sem tomar dano.
VILESIGMADEFEATED_TITLE,Hope Remains,,,
VILESIGMADEFEATED_DISC,Defeated Vile at Crimson Palace.,Derrotou Vile no Palácio Carmesim.,Derrotaste a Vile en el Palacio Carmesí.,Derrotou Vile no Palácio Carmesim.
XDRIVEDODGE_TITLE,Mark of the Ninja,,,
XDRIVEDODGE_DISC,Used XDrive during a Desperation Attack.,Usou o XDrive durante um Ataque Desespero.,Usaste XDrive durante un Ataque de Desesperación.,Usou o XDrive durante um Ataque Desespero.
YETIBUSTERONLY_TITLE,It's Too Late,,,
